SECTOR_NAME,DATE1,TOTAL_TRADED_VALUE,TTL_TRD_QNTY,DELIV_QTY,AVG_PRICE,Month,Growth_rate
Financial Services,2024-02-26,195351814861.11,920327664,316296066,212.2633302274721,2,-3.5476852938244763
Industrials,2024-02-26,101918541306.62,179504246,65033063,567.7778859148546,2,-1.445032025454529
Commodities,2024-02-27,52095875806.9,147373858,64758943,353.4946870081938,2,-10.619541260294241
Consumer Discretionary,2024-02-27,133236457637.4,326934534,117214762,407.5325295473375,2,8.119281596368054
Energy,2024-02-27,54277816705.54,113474129,52298467,478.3276785983526,2,-11.156932576664024
Financial Services,2024-02-27,219966558111.29,852432463,292300818,258.04573108015245,2,12.60021222105383
Industrials,2024-02-27,95612674509.94,184685913,72099320,517.7042090369936,2,-6.18716350905073
Commodities,2024-02-28,58177065056.01,166154014,64548281,350.1393896870286,2,11.673072301636122
Consumer Discretionary,2024-02-28,136688317789.34,299051704,137133600,457.0725261252482,2,2.590777489247098
Energy,2024-02-28,49486050992.12,120314205,53766432,411.3068028178385,2,-8.82822118549016
Financial Services,2024-02-28,181004431535.8,934716804,333379584,193.64627955891547,2,-17.712750024382117
Industrials,2024-02-28,103666551128.73,210685194,80550382,492.0447856849874,2,8.42344036506657
Commodities,2024-02-29,115373969041.1,394366603,207625959,292.55512044740766,2,98.31521052157521
Consumer Discretionary,2024-02-29,234574120236.83,503968938,273258596,465.4535280839669,2,71.61241284595272
Energy,2024-02-29,81432056561.66,168762507,93007230,482.5245726034397,2,64.55557663032553
Financial Services,2024-02-29,342703330907.8,1628178092,685190939,210.4827061558325,2,89.33422126740491
Industrials,2024-02-29,123720786740.5,340742465,182204673,363.0917758973775,2,19.34494337220427
